"License.Se","License.Ty","License.Cl","License._1","Agency.Zon","Agency.Z_1","County.Nam","Premises.N","Doing.Busi","Actual.Add","Additional","City","State","Zip","License.Ce","License.Or","License.Ef","License.Ex","Latitude","Longitude","Location","BoroCode","BoroName","CountyFIPS","NTACode","NTAName","Shape_Leng","Shape_Area","coords.x1","coords.x2"
1040606,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","LENNYS CLAM BAR INC","LENNYS CLAM BAR","161 03 CROSS BAY BLVD",NA,"HOWARD BEACH","NY",11414,845366,NA,"03/04/2015","02/28/2017",40.6557633,-73.83886226,"(40.6557633, -73.83886226)",4,"Queens","081","QN57","Lindenwood-Howard Beach",78408.1907489,63887537.6349,1028960.02788953,178229.760435614
1012233,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","ENIDS CORPORATION","ENIDS","560 MANHATTAN AVE",NA,"BROOKLYN","NY",11222,846873,NA,"07/01/2015","06/30/2017",40.72224485,-73.94983335,"(40.72224485, -73.94983335)",3,"Brooklyn","047","BK76","Greenpoint",29112.4640472,35338772.1582,998155.608078375,202413.792956244
1260827,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","SONRISA BAR CORP",NA,"139 37 JAMAICA AVE",NA,"JAMAICA","NY",11435,804057,"05/31/2012","05/01/2014","04/30/2016",40.70231981,-73.81185881,"(40.70231981, -73.81185881)",4,"Queens","081","QN61","Jamaica",43696.3647225,47308036.5466,1036416.08954483,195206.535982577
1156121,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","QUAINT LLC",NA,"46 10 SKILLMAN AVE","46TH STREET &     47TH STREET","SUNNYSIDE","NY",11104,855663,"01/04/2006","01/01/2016","12/31/2017",40.74650152,-73.91790476,"(40.74650152, -73.91790476)",4,"Queens","081","QN31","Hunters Point-Sunnyside-West Maspeth",74586.2958061,102392938.158,1006997.55496716,211257.9373761
1040575,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","TEEDEES TAVERN INC","DROMORE WEST","64 31 COOPER AVENUE",NA,"GLENDALE","NY",11385,855090,NA,"11/01/2015","10/31/2017",40.69819882,-73.89109374,"(40.69819882, -73.89109374)",4,"Queens","081","QN19","Glendale",41405.5073693,29973142.611,1014448.42601062,193667.887849171
1210372,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","OTG  JFK T5 VENTURE LLC",NA,"JFK AIRPORT TERM 5 7NC",NA,"JAMAICA","NY",11430,834278,"03/31/2010","03/01/2014","02/29/2016",40.65394477,-73.79089912,"(40.65394477, -73.79089912)",4,"Queens","081","QN98","Airport",134833.935176,227761739.697,1042269.66327047,177595.345359648
1235332,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","MICADO BROOKLYN LLC","ANCHORED INN","57 WATERBURY STREET","SCHOLES & MESEROLE STREETS","BROOKLYN","NY",11206,842700,"02/17/2011","02/01/2015","01/31/2017",40.70933227,-73.93716262,"(40.70933227, -73.93716262)",3,"Brooklyn","047","BK78","Bushwick South",40778.2819626,40192459.5846,1001671.16026429,197711.612972707
1040567,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","RHEINERHOF INC","THE WINDJAMMER BAR","552 GRANDVIEW AVE",NA,"RIDGEWOOD","NY",11385,850396,NA,"07/01/2015","06/30/2017",40.70923174,-73.90706338,"(40.70923174, -73.90706338)",4,"Queens","081","QN20","Ridgewood",40645.3858295,50505245.357,1010015.96968761,197682.406627896
1040541,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","CONNEELY & QUINN INC","GLENLO TAVERN","64 16 & 64 18 FRESH POND RD",NA,"RIDGEWOOD","NY",11385,852991,"10/17/1996","10/01/2015","09/30/2017",40.71017723,-73.89933569,"(40.71017723, -73.89933569)",4,"Queens","081","QN20","Ridgewood",40645.3858295,50505245.357,1012158.01608976,198029.244494161
1253620,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","CHIYO & ATSU INC","LOUNGE MISHIMA","212 E 52ND ST 2ND FL",NA,"NEW YORK","NY",10022,851078,"09/01/2011","09/01/2015","08/31/2017",40.7568781,-73.96955345,"(40.7568781, -73.96955345)",1,"Manhattan","061","MN19","Turtle Bay-East Midtown",21638.7812063,17397872.2036,992685.041823654,215029.267182507
1146124,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","SPICE MARKET LLC",NA,"29 35A 9TH AVENUE","13TH & 14TH STREETS","NEW YORK","NY",10014,855588,"01/23/2004","01/01/2016","12/31/2017",40.74063516,-74.00571052,"(40.74063516, -74.00571052)",1,"Manhattan","061","MN23","West Village",29385.0304235,25000526.3287,982667.547411811,209110.027594093
1024828,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","AMF BOWLING CENTERS INC","300 NEW YORK","60 CHELSEA PIERS",NA,"NEW YORK","NY",10011,837627,"09/09/1997","09/01/2014","08/31/2016",40.74691508,-74.00823534,"(40.74691508, -74.00823534)",1,"Manhattan","061","MN13","Hudson Yards-Chelsea-Flatiron-Union Square",45454.7229508,37029727.2943,981968.105050145,211398.058410303
1027957,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","SWEET HOSPITALITY GROUP","THE NEW AMSTERDAM THEATER","214 W 42ND STREET",NA,"NEW YORK","NY",10036,837990,"11/18/2013","09/01/2014","08/31/2016",40.75618994,-73.98743606,"(40.75618994, -73.98743606)",1,"Manhattan","061","MN17","Midtown-Midtown South",27035.7381234,30192056.8923,987730.803440997,214777.331810178
1289057,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","NINE AVENUE THAI INC","VIV","717 9TH AVE",NA,"NEW YORK","NY",10019,839506,"11/12/2015","11/12/2015","10/31/2017",40.76277,-73.98969,"(40.76277, -73.98969)",1,"Manhattan","061","MN15","Clinton",35037.1715797,18381380.2263,987106.073689343,217174.581390491
1040538,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","BOZENA OLCAN","I O CAFE","793 FAIRVIEW AVE","66 94 FOREST","RIDGEWOOD","NY",11385,854939,NA,"11/01/2015","10/31/2017",40.70475419,-73.90241253,"(40.70475419, -73.90241253)",4,"Queens","081","QN20","Ridgewood",40645.3858295,50505245.357,1011307.19924041,196052.503777536
1272206,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","SWEET HOSPITALITY GROUP",NA,"111 W 46TH ST","STEINBERG CENTER FOR THEATER","NEW YORK","NY",10036,850512,"08/26/2013","08/01/2015","07/31/2017",40.75759965,-73.9827446,"(40.75759965, -73.9827446)",1,"Manhattan","061","MN17","Midtown-Midtown South",27035.7381234,30192056.8923,989030.45775355,215291.156305852
1105483,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","ZENITH CORPORATION","TRAILER PARK LOUNGE GRILL","271 WEST 23RD STREET",NA,"NEW YORK","NY",10011,803525,"04/19/2002","04/01/2014","03/31/2016",40.74497831,-73.99759925,"(40.74497831, -73.99759925)",1,"Manhattan","061","MN13","Hudson Yards-Chelsea-Flatiron-Union Square",45454.7229508,37029727.2943,984915.232834441,210692.332966873
1137313,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","PAMPANO LLC","PAMPANO RESTAURANT","805 3RD AVE AKA 209 E 49TH ST","2ND & 3RD AVENUES","NEW YORK","NY",10022,848545,"05/19/2003","05/01/2015","04/30/2017",40.75556851,-73.97085308,"(40.75556851, -73.97085308)",1,"Manhattan","061","MN19","Turtle Bay-East Midtown",21638.7812063,17397872.2036,992325.145567479,214552.018480247
1027935,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","SANDBAR CONCESSION INC","MARRIOTT MARQUIS","1535 BROADWAY",NA,"NEW YORK","NY",10036,842117,NA,"12/01/2014","11/30/2016",40.75868997,-73.98542351,"(40.75868997, -73.98542351)",1,"Manhattan","061","MN17","Midtown-Midtown South",27035.7381234,30192056.8923,988288.223057856,215688.260620744
